10000	2332	81.0
10001	2903	82.0
10002	1353	27.0
10004	3676	30.0
10005	3079	21.0
10007	3095	65.0
10008	2693	34.0
10009	3926	63.0
10011	2720	71.0
10012	3152	67.0
10013	3052	8.0
10016	2444	15.0
10024	2491	95.0
10026	2113	64.0
10027	3118	64.0
10028	2470	72.0
10030	2189	79.0
10031	3076	68.0
10032	2649	22.0
10034	3805	31.0
10036	3949	76.0
10038	1841	35.0
10039	3346	54.0
10043	1146	81.0
10044	1074	30.0
10045	1312	31.0
10046	3177	44.0
10048	3794	51.0
10050	1942	33.0
10052	1266	21.0
10054	2247	39.0
10055	3275	86.0
10058	1480	83.0
10060	2797	3.0
10062	1694	26.0
10064	1615	95.0
10065	2580	24.0
10066	2385	4.0
10067	3653	67.0
10068	2770	45.0
10070	1542	66.0
10073	1099	86.0
10074	3545	23.0
10078	3565	66.0
10079	2642	21.0
10080	1724	92.0
10081	3788	82.0
10085	1286	62.0
10086	2788	11.0
10089	2174	31.0
10090	2391	48.0
10091	2341	75.0
10092	3954	92.0
10096	1098	70.0
10097	3024	78.0
10099	2608	86.0
10101	3767	90.0
10104	1172	75.0
10105	1291	32.0
10107	2268	61.0
10110	2609	50.0
10112	2594	17.0
10113	1007	27.0
10115	3007	94.0
10116	2148	79.0
10117	1793	73.0
10118	1962	39.0
10120	3641	88.0
10122	1222	5.0
10123	1977	57.0
10125	1488	10.0
10126	2650	77.0
10128	1334	79.0
10130	3394	66.0
10132	3998	92.0
10134	3662	75.0
10135	3034	47.0
10136	1340	45.0
10137	2228	12.0
10141	2657	12.0
10143	2478	14.0
10144	1092	31.0
10145	2861	63.0
10146	2932	35.0
10150	1426	74.0
10151	1402	76.0
10153	2270	44.0
10162	3554	71.0
10163	1104	7.0
10165	2776	60.0
10167	1681	27.0
10169	3982	45.0
10171	2245	46.0
10173	2064	80.0
10175	2748	55.0
10177	3707	37.0
10178	3091	40.0
10182	3066	59.0
10184	3358	91.0
10188	1338	68.0
10189	2136	93.0
10190	3824	47.0
10192	2182	57.0
10193	2379	87.0
10194	3163	5.0
10195	3196	31.0
10196	3489	94.0
10197	3184	26.0
10201	2326	62.0
10203	2565	81.0
10204	2421	13.0
10205	1477	70.0
10210	2912	77.0
10212	3552	33.0
10213	2789	41.0
10215	2504	3.0
10216	1712	95.0
10217	1039	51.0
10219	2925	78.0
10220	2309	33.0
10221	2998	57.0
10223	1406	84.0
10224	2958	41.0
10226	2799	2.0
10227	1746	83.0
10230	1232	86.0
10231	3307	15.0
10233	3546	79.0
10234	3308	25.0
10238	3018	78.0
10240	1830	37.0
10241	3801	35.0
10242	3002	89.0
10243	3642	36.0
10248	2201	72.0
10249	2296	25.0
10250	3979	52.0
10251	1636	29.0
10252	2674	38.0
10253	3117	88.0
10254	3180	77.0
10255	3680	50.0
