R	1	18
R	10	3
R	100	1
R	102	4
R	103	1
R	104	1
R	11	1
R	113	1
R	116	1
R	12	3
R	13	3
R	14	3
R	15	2
R	16	2
R	17	6
R	18	3
R	19	3
R	20	3
R	21	1
R	22	1
R	23	8
R	25	5
R	26	6
R	27	7
R	28	8
R	29	9
R	3	4
R	30	5
R	31	5
R	32	8
R	33	10
R	34	8
R	35	7
R	36	4
R	37	8
R	38	7
R	39	7
R	4	2
R	40	5
R	41	7
R	42	4
R	43	6
R	44	7
R	45	10
R	46	5
R	47	11
R	48	12
R	49	4
R	5	1
R	50	10
R	51	8
R	52	8
R	53	6
R	54	6
R	55	13
R	56	7
R	57	8
R	58	5
R	59	12
R	60	9
R	61	5
R	62	9
R	63	10
R	64	8
R	65	13
R	66	4
R	67	7
R	68	1
R	69	2
R	7	2
R	70	6
R	71	7
R	72	10
R	73	4
R	74	6
R	75	6
R	76	6
R	77	6
R	78	2
R	79	2
R	8	4
R	80	3
R	81	1
R	82	2
R	83	6
R	84	2
R	85	2
R	86	2
R	87	3
R	88	2
R	89	5
R	9	6
R	90	6
R	91	3
R	93	2
R	94	2
R	95	2
R	96	1
R	97	1
R	98	4
Re	1	14
Re	10	2
Re	100	1
Re	101	1
Re	104	2
Re	105	1
Re	106	2
Re	11	2
Re	112	1
Re	114	1
Re	119	1
Re	12	1
Re	13	1
Re	139	1
Re	14	2
Re	15	2
Re	16	2
Re	17	5
Re	18	6
Re	19	5
Re	2	2
Re	20	4
Re	21	4
Re	22	4
Re	23	6
Re	24	7
Re	25	2
Re	26	6
Re	27	6
Re	28	5
Re	29	5
Re	30	6
Re	31	6
Re	32	8
Re	33	9
Re	34	5
Re	35	5
Re	36	7
Re	37	9
Re	38	6
Re	39	7
Re	4	3
Re	40	9
Re	41	5
Re	42	8
Re	43	15
Re	44	7
Re	45	9
Re	46	3
Re	47	9
Re	48	14
Re	49	8
Re	5	2
Re	50	11
Re	51	7
Re	52	9
Re	53	8
Re	54	8
Re	55	5
Re	56	9
Re	57	6
Re	58	8
Re	59	8
Re	6	2
Re	60	11
Re	61	6
Re	62	11
Re	63	5
Re	64	5
Re	65	9
Re	66	3
Re	67	7
Re	68	5
Re	69	10
Re	70	4
Re	71	5
Re	72	4
Re	73	9
Re	74	4
Re	75	3
Re	76	7
Re	77	2
Re	78	2
Re	79	4
Re	8	3
Re	80	2
Re	81	6
Re	82	3
Re	83	3
Re	84	3
Re	85	3
Re	86	4
Re	87	2
Re	88	5
Re	89	3
Re	9	2
Re	90	1
Re	91	1
Re	92	3
Re	93	2
Re	94	2
Re	95	2
Re	96	2
Re	97	1
Re	98	3
Re	99	1
